Date,Dividends,symbol
2003-06-25 00:00:00-04:00,0.05,RL
2003-09-24 00:00:00-04:00,0.05,RL
2003-12-23 00:00:00-05:00,0.05,RL
2004-03-31 00:00:00-05:00,0.05,RL
2004-06-30 00:00:00-04:00,0.05,RL
2004-09-29 00:00:00-04:00,0.05,RL
2004-12-29 00:00:00-05:00,0.05,RL
2005-03-30 00:00:00-05:00,0.05,RL
2005-06-29 00:00:00-04:00,0.05,RL
2005-09-28 00:00:00-04:00,0.05,RL
2005-12-28 00:00:00-05:00,0.05,RL
2006-03-29 00:00:00-05:00,0.05,RL
2006-06-28 00:00:00-04:00,0.05,RL
2006-09-27 00:00:00-04:00,0.05,RL
2006-12-27 00:00:00-05:00,0.05,RL
2007-03-28 00:00:00-04:00,0.05,RL
2007-06-27 00:00:00-04:00,0.05,RL
2007-09-26 00:00:00-04:00,0.05,RL
2007-12-26 00:00:00-05:00,0.05,RL
2008-03-26 00:00:00-04:00,0.05,RL
2008-06-25 00:00:00-04:00,0.05,RL
2008-09-24 00:00:00-04:00,0.05,RL
2008-12-23 00:00:00-05:00,0.05,RL
2009-03-25 00:00:00-04:00,0.05,RL
2009-06-24 00:00:00-04:00,0.05,RL
2009-09-23 00:00:00-04:00,0.05,RL
2009-12-22 00:00:00-05:00,0.1,RL
2010-03-30 00:00:00-04:00,0.1,RL
2010-06-30 00:00:00-04:00,0.1,RL
2010-09-29 00:00:00-04:00,0.1,RL
2010-12-29 00:00:00-05:00,0.1,RL
2011-03-30 00:00:00-04:00,0.2,RL
2011-06-29 00:00:00-04:00,0.2,RL
2011-09-28 00:00:00-04:00,0.2,RL
2011-12-28 00:00:00-05:00,0.2,RL
2012-03-28 00:00:00-04:00,0.2,RL
2012-06-27 00:00:00-04:00,0.4,RL
2012-09-26 00:00:00-04:00,0.4,RL
2012-12-13 00:00:00-05:00,0.4,RL
2013-03-26 00:00:00-04:00,0.4,RL
2013-06-26 00:00:00-04:00,0.4,RL
2013-06-27 00:00:00-04:00,0.4,RL
2013-09-25 00:00:00-04:00,0.4,RL
2013-12-24 00:00:00-05:00,0.45,RL
2014-03-26 00:00:00-04:00,0.45,RL
2014-06-25 00:00:00-04:00,0.45,RL
2014-09-24 00:00:00-04:00,0.45,RL
2014-12-23 00:00:00-05:00,0.45,RL
2015-03-25 00:00:00-04:00,0.5,RL
2015-06-24 00:00:00-04:00,0.5,RL
2015-09-23 00:00:00-04:00,0.5,RL
2015-12-22 00:00:00-05:00,0.5,RL
2016-03-30 00:00:00-04:00,0.5,RL
2016-06-29 00:00:00-04:00,0.5,RL
2016-09-28 00:00:00-04:00,0.5,RL
2016-12-28 00:00:00-05:00,0.5,RL
2017-03-29 00:00:00-04:00,0.5,RL
2017-06-28 00:00:00-04:00,0.5,RL
2017-09-28 00:00:00-04:00,0.5,RL
2017-12-28 00:00:00-05:00,0.5,RL
2018-03-28 00:00:00-04:00,0.5,RL
2018-06-28 00:00:00-04:00,0.625,RL
2018-09-27 00:00:00-04:00,0.625,RL
2018-12-27 00:00:00-05:00,0.625,RL
2019-03-28 00:00:00-04:00,0.625,RL
2019-06-27 00:00:00-04:00,0.688,RL
2019-09-26 00:00:00-04:00,0.688,RL
2019-12-26 00:00:00-05:00,0.688,RL
2020-03-26 00:00:00-04:00,0.688,RL
2021-06-24 00:00:00-04:00,0.688,RL
2021-09-23 00:00:00-04:00,0.688,RL
2021-12-22 00:00:00-05:00,0.688,RL
2022-03-31 00:00:00-04:00,0.688,RL
2022-06-30 00:00:00-04:00,0.75,RL
2022-09-29 00:00:00-04:00,0.75,RL
2022-12-29 00:00:00-05:00,0.75,RL
2023-03-30 00:00:00-04:00,0.75,RL
2023-06-29 00:00:00-04:00,0.75,RL
2023-09-28 00:00:00-04:00,0.75,RL
2023-12-28 00:00:00-05:00,0.75,RL
2024-03-27 00:00:00-04:00,0.75,RL
2024-06-28 00:00:00-04:00,0.825,RL
2024-09-27 00:00:00-04:00,0.825,RL
2024-12-27 00:00:00-05:00,0.825,RL
2025-03-28 00:00:00-04:00,0.825,RL
2025-06-27 00:00:00-04:00,0.913,RL
