Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
1992-02-24 00:00:00-05:00,7.125,8.25,6.875,7.6875,14922400,0.0,0.0,SNPS
1992-03-02 00:00:00-05:00,7.625,8.0625,7.5625,7.75,4081200,0.0,0.0,SNPS
1992-03-09 00:00:00-05:00,7.8125,8.5,7.8125,8.4375,2385200,0.0,0.0,SNPS
1992-03-16 00:00:00-05:00,8.375,8.8125,8.125,8.75,1487200,0.0,0.0,SNPS
1992-03-23 00:00:00-05:00,8.8125,8.8125,7.875,7.875,1177600,0.0,0.0,SNPS
1992-03-30 00:00:00-05:00,7.875,8.0625,7.25,7.5,1661200,0.0,0.0,SNPS
1992-04-06 00:00:00-04:00,7.4375,7.75,7.1875,7.5,2491200,0.0,0.0,SNPS
1992-04-13 00:00:00-04:00,7.5625,7.9375,7.5625,7.625,407200,0.0,0.0,SNPS
1992-04-20 00:00:00-04:00,7.65625,7.65625,6.375,6.625,1784400,0.0,0.0,SNPS
1992-04-27 00:00:00-04:00,6.75,7.6875,6.25,7.6875,1992400,0.0,0.0,SNPS
1992-05-04 00:00:00-04:00,7.625,8.5625,7.625,8.34375,2051200,0.0,0.0,SNPS
1992-05-11 00:00:00-04:00,8.3125,8.3125,6.75,7.375,1505200,0.0,0.0,SNPS
1992-05-18 00:00:00-04:00,7.3125,7.5,6.75,6.875,793600,0.0,0.0,SNPS
1992-05-25 00:00:00-04:00,6.875,7.0,6.59375,6.84375,2458000,0.0,0.0,SNPS
1992-06-01 00:00:00-04:00,6.8125,8.375,6.8125,7.59375,2975200,0.0,0.0,SNPS
1992-06-08 00:00:00-04:00,7.6875,7.8125,6.875,7.1875,1654400,0.0,0.0,SNPS
1992-06-15 00:00:00-04:00,7.3125,7.3125,6.1875,6.5625,2302000,0.0,0.0,SNPS
1992-06-22 00:00:00-04:00,6.5625,6.8125,6.1875,6.5,1203200,0.0,0.0,SNPS
1992-06-29 00:00:00-04:00,6.5,7.1875,6.3125,6.625,1398800,0.0,0.0,SNPS
1992-07-06 00:00:00-04:00,6.6875,6.8125,6.375,6.5625,1761200,0.0,0.0,SNPS
1992-07-13 00:00:00-04:00,6.5,6.5625,6.0,6.375,1895200,0.0,0.0,SNPS
1992-07-20 00:00:00-04:00,6.125,6.25,5.75,5.8125,1482000,0.0,0.0,SNPS
1992-07-27 00:00:00-04:00,5.84375,6.625,5.5625,6.5,9866000,0.0,0.0,SNPS
1992-08-03 00:00:00-04:00,6.5,6.5625,6.25,6.5,3763200,0.0,0.0,SNPS
1992-08-10 00:00:00-04:00,6.375,6.4375,6.3125,6.3125,2075200,0.0,0.0,SNPS
1992-08-17 00:00:00-04:00,6.375,6.4375,5.875,5.875,1606400,0.0,0.0,SNPS
1992-08-24 00:00:00-04:00,5.875,6.375,5.75,6.375,6027600,0.0,0.0,SNPS
1992-08-31 00:00:00-04:00,6.3125,6.375,6.125,6.3125,7348000,0.0,0.0,SNPS
1992-09-07 00:00:00-04:00,6.1875,7.25,6.1875,7.03125,6856000,0.0,0.0,SNPS
1992-09-14 00:00:00-04:00,7.125,7.3125,6.9375,6.96875,5032400,0.0,0.0,SNPS
1992-09-21 00:00:00-04:00,6.9375,7.25,6.5,6.6875,3252400,0.0,0.0,SNPS
1992-09-28 00:00:00-04:00,6.5625,7.4375,6.4375,6.9375,3859600,0.0,0.0,SNPS
1992-10-05 00:00:00-04:00,6.875,7.1875,6.375,7.0625,4752000,0.0,0.0,SNPS
1992-10-12 00:00:00-04:00,7.0625,7.8125,7.0625,7.8125,6770400,0.0,0.0,SNPS
1992-10-19 00:00:00-04:00,7.6875,8.25,7.5,7.625,5247600,0.0,0.0,SNPS
1992-10-26 00:00:00-05:00,7.5625,7.75,7.09375,7.5625,3352400,0.0,0.0,SNPS
1992-11-02 00:00:00-05:00,7.5,8.25,7.5,8.125,4152000,0.0,0.0,SNPS
1992-11-09 00:00:00-05:00,8.1875,8.34375,8.0,8.125,3355200,0.0,0.0,SNPS
1992-11-16 00:00:00-05:00,8.125,8.875,8.0,8.625,3204800,0.0,0.0,SNPS
1992-11-23 00:00:00-05:00,8.625,8.6875,7.875,7.875,1770800,0.0,0.0,SNPS
1992-11-30 00:00:00-05:00,8.0,8.0,7.4375,7.90625,3209200,0.0,0.0,SNPS
1992-12-07 00:00:00-05:00,7.875,8.375,7.875,8.3125,4750400,0.0,0.0,SNPS
1992-12-14 00:00:00-05:00,8.25,8.6875,8.125,8.625,2050800,0.0,0.0,SNPS
1992-12-21 00:00:00-05:00,8.6875,8.84375,8.5625,8.75,1030800,0.0,0.0,SNPS
1992-12-28 00:00:00-05:00,8.6875,8.8125,8.3125,8.65625,1714400,0.0,0.0,SNPS
1993-01-04 00:00:00-05:00,8.625,9.625,8.3125,9.25,4524400,0.0,0.0,SNPS
1993-01-11 00:00:00-05:00,9.25,9.5625,8.8125,9.3125,3507200,0.0,0.0,SNPS
1993-01-18 00:00:00-05:00,9.3125,9.5,8.0,8.375,6442400,0.0,0.0,SNPS
1993-01-25 00:00:00-05:00,8.3125,9.0,8.3125,8.4375,2793200,0.0,0.0,SNPS
1993-02-01 00:00:00-05:00,8.34375,8.8125,7.5625,7.71875,4439200,0.0,0.0,SNPS
1993-02-08 00:00:00-05:00,7.625,8.1875,7.5,8.1875,4050000,0.0,0.0,SNPS
1993-02-15 00:00:00-05:00,8.0,8.0625,7.1875,8.0625,3375200,0.0,0.0,SNPS
1993-02-22 00:00:00-05:00,8.1875,8.1875,7.75,8.0,2384000,0.0,0.0,SNPS
1993-03-01 00:00:00-05:00,8.03125,8.125,7.6875,7.6875,678400,0.0,0.0,SNPS
1993-03-08 00:00:00-05:00,7.8125,7.8125,6.65625,7.21875,8411600,0.0,0.0,SNPS
1993-03-15 00:00:00-05:00,7.375,7.4375,6.65625,6.65625,5030400,0.0,0.0,SNPS
1993-03-22 00:00:00-05:00,6.625,8.0625,6.4375,7.9375,3565200,0.0,0.0,SNPS
1993-03-29 00:00:00-05:00,7.9375,8.5625,7.9375,8.15625,2879200,0.0,0.0,SNPS
1993-04-05 00:00:00-04:00,8.1875,8.1875,7.8125,8.125,1282800,0.0,0.0,SNPS
1993-04-12 00:00:00-04:00,8.125,8.375,7.3125,8.21875,1851200,0.0,0.0,SNPS
1993-04-19 00:00:00-04:00,8.25,8.875,7.9375,8.75,6172400,0.0,0.0,SNPS
1993-04-26 00:00:00-04:00,8.6875,9.1875,8.1875,8.78125,4625200,0.0,0.0,SNPS
1993-05-03 00:00:00-04:00,8.8125,9.5,8.4375,9.125,5984400,0.0,0.0,SNPS
1993-05-10 00:00:00-04:00,9.125,9.25,8.9375,8.9375,1176400,0.0,0.0,SNPS
1993-05-17 00:00:00-04:00,8.96875,10.3125,8.9375,10.25,7065200,0.0,0.0,SNPS
1993-05-24 00:00:00-04:00,10.125,10.5625,9.9375,10.125,3155200,0.0,0.0,SNPS
1993-05-31 00:00:00-04:00,10.0,10.8125,10.0,10.0625,2779200,0.0,0.0,SNPS
1993-06-07 00:00:00-04:00,10.125,10.125,9.3125,9.78125,3343600,0.0,0.0,SNPS
1993-06-14 00:00:00-04:00,9.875,10.3125,9.75,10.0625,2893200,0.0,0.0,SNPS
1993-06-21 00:00:00-04:00,10.0,10.875,9.5,10.8125,3336800,0.0,0.0,SNPS
